Rank,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
1123,forza-horizon-4,Racing,E,XOne,Microsoft Studios,Playground Games,9.2,1.7,0.74,0.95,0.01,0.15
1125,rayman-raving-rabbids-2,Misc,E10,Wii,Ubisoft,Ubisoft Paris,6.6,1.64,0.82,0.82,0.0,0.2
1131,the-elder-scrolls-v-skyrim-special-edition,Role-Playing,M,XOne,Bethesda Softworks,Bethesda Softworks,8.1,1.66,1.13,0.53,0.0,0.17
1132,air-combat,Simulation,E,PS,Namco,Namco,7.0,1.77,0.92,0.33,0.52,0.05
1134,demons-souls,Role-Playing,M,PS3,Atlus,From Software,9.1,1.6600000000000001,0.97,0.34,0.35,0.17
1136,donkey-kong-country,Platform,E,GBA,Nintendo,Rare Ltd.,7.5,0.0,0.0,0.0,0.0,0.0
1138,star-fox-adventures,Adventure,T,GC,Nintendo,Rare Ltd.,8.1,0.0,0.0,0.0,0.0,0.0
1140,bioshock-infinite,Shooter,M,PS3,2K Games,Irrational Games,9.5,1.52,0.74,0.74,0.04,0.3
1143,the-orange-box,Shooter,M,X360,Electronic Arts,Valve Software,9.7,1.6400000000000001,1.09,0.53,0.02,0.17
1145,crazy-taxi,Racing,T,DC,Sega,Hitmaker,9.3,1.73,1.1,0.51,0.12,0.08
1150,madden-nfl-07,Sports,E,X360,EA Sports,EA Tiburon,8.2,1.67,1.66,0.0,0.01,0.13
1156,sonic-colors,Platform,E,Wii,Sega,Sonic Team,7.7,0.0,0.0,0.0,0.0,0.0
1158,kirbys-return-to-dreamland,Platform,E10,Wii,Nintendo,HAL Laboratory,7.6,0.0,0.0,0.0,0.0,0.0
1159,new-play-control-mario-power-tennis,Sports,E,Wii,Nintendo,Camelot Software Planning,6.6,0.0,0.0,0.0,0.0,0.0
1162,lego-star-wars-iii-the-clone-wars,Action,E10,Wii,LucasArts,Traveller's Tales,7.5,1.63,1.01,0.62,0.0,0.15
1167,far-cry-5,Action,M,XOne,Ubisoft,Ubisoft Montreal,7.2,1.6099999999999999,1.14,0.47,0.0,0.17
1171,kirby-64-the-crystal-shards,Platform,E,N64,Nintendo,HAL Laboratory,7.9,0.0,0.0,0.0,0.0,0.0
1172,ufc-2009-undisputed,Fighting,T,PS3,THQ,Yuke's Osaka,8.4,1.53,1.07,0.45,0.01,0.24
1174,high-school-musical-sing-it,Misc,E,Wii,Disney Interactive Studios,Artificial Mind and Movement,6.4,1.5999999999999999,1.15,0.45,0.0,0.16
1177,the-spongebob-squarepants-movie,Platform,E,PS2,THQ,Heavy Iron Studios,6.6,1.6,1.06,0.54,0.0,0.16
1180,the-legend-of-zelda-the-minish-cap,Adventure,E,GBA,Nintendo,Flagship,8.9,0.0,0.0,0.0,0.0,0.0
1181,wii-party-u,Party,E,WiiU,Nintendo,"Nd Cube Co., Ltd.",6.6,0.0,0.0,0.0,0.0,0.0
1184,state-of-emergency,Action,M,PS2,Rockstar Games,VIS Entertainment,8.0,1.53,0.86,0.67,0.0,0.22
1190,just-cause-2,Action,M,PS3,Square Enix,Avalanche Studios,8.3,1.4300000000000002,0.45,0.92,0.06,0.32
1198,fifa-soccer-08,Sports,E,PS3,EA Sports,EA Canada,8.5,1.44,0.35,1.07,0.02,0.31
1199,crackdown,Shooter,M,X360,Microsoft Game Studios,Realtime Worlds,8.4,1.56,1.0,0.53,0.03,0.18
1204,xenosaga-episode-i-der-wille-zur-macht,Role-Playing,T,PS2,Namco,Monolith Soft,8.7,1.57,0.63,0.49,0.45,0.17
1205,max-payne-3,Shooter,M,PC,Rockstar Games,Rockstar Vancouver,9.0,0.0,0.0,0.0,0.0,0.0
1213,ssx-tricky,Sports,E,PS2,EA Sports BIG,EA Canada,9.2,1.51,0.85,0.66,0.0,0.22
1214,twisted-metal-iii,Action,T,PS,989 Studios,989 Studios,4.4,1.68,1.48,0.2,0.0,0.05
1216,mario-amp-luigi-partners-in-time,Role-Playing,E,DS,Nintendo,AlphaDream Corporation,8.8,0.0,0.0,0.0,0.0,0.0
1217,crash-bandicoot-the-huge-adventure,Platform,E,GBA,Vivendi Games,Vicarious Visions,8.3,1.65,0.95,0.7,0.0,0.08
1218,rockstar-games-double-pack-grand-theft-auto-iii-amp-grand-theft-auto-vice-city,Action,M,PS2,Rockstar Games,Rockstar North,9.7,1.51,0.85,0.66,0.0,0.22
1220,call-of-duty-world-at-war-final-fronts,Shooter,T,PS2,Activision,Rebellion Developments,6.8,0.79,0.61,0.18,0.0,0.94
1222,metroid-ii-return-of-samus,Adventure,E,GB,Nintendo,Intelligent Systems,7.3,0.0,0.0,0.0,0.0,0.0
1224,titanfall-2,Shooter,M,PS4,Electronic Arts,Respawn Entertainment,8.9,1.4300000000000002,0.75,0.62,0.06,0.28
1229,the-beatles-rock-band,Misc,T,Wii,MTV Games,Harmonix Music Systems,9.0,1.56,1.17,0.39,0.0,0.15
1232,call-of-duty-modern-warfare-3,Shooter,M,PC,Activision,Infinity Ward,8.0,1.4,0.41,0.99,0.0,0.31
1237,portal-2,Shooter,E10,PS3,Valve,Valve Software,9.6,1.47,0.83,0.62,0.02,0.24
1242,chrono-cross,Role-Playing,T,PS,Square EA,SquareSoft,9.7,0.0,0.0,0.0,0.0,0.0
1243,devil-may-cry-2,Action,M,PS2,Capcom,Capcom,6.5,0.0,0.0,0.0,0.0,0.0
1244,dragon-quest-v-hand-of-the-heavenly-bride,Role-Playing,E10,DS,Square Enix,ArtePiazza,8.6,0.0,0.0,0.0,0.0,0.0
1245,dragon-quest-vi-realms-of-revelation,Role-Playing,T,DS,Nintendo,ArtePiazza,7.6,0.0,0.0,0.0,0.0,0.0
1249,kingdom-hearts-358,Role-Playing,E10,DS,Square Enix,High Horse Entertainment,7.5,0.0,0.0,0.0,0.0,0.0
1250,kingdom-hearts-birth-by-sleep,Role-Playing,E10,PSP,Square Enix,Square Enix,7.9,0.0,0.0,0.0,0.0,0.0
1251,super-princess-peach,Platform,E,DS,Nintendo,TOSE Software,7.8,0.0,0.0,0.0,0.0,0.0
1253,ncaa-football-07,Sports,E,PS2,Electronic Arts,EA Sports,8.9,1.46,1.41,0.05,0.0,0.23
1256,sid-meiers-civilization-v,Strategy,E10,PC,2K Games,Firaxis Games,8.9,1.53,1.0,0.53,0.0,0.17
1257,cabelas-big-game-hunter-2010,Sports,T,Wii,Activision,Cauldron,5.5,1.58,1.58,0.0,0.0,0.12
1263,need-for-speed-undercover,Racing,T,X360,Electronic Arts,EA Vancouver,6.3,1.51,0.8,0.7,0.01,0.18
1267,harry-potter-and-the-sorcerers-stone,Action,E,GBA,Electronic Arts,Griptonite Games,6.6,1.61,0.87,0.66,0.08,0.08
